,trade_date,ts_code,close,open,high,low,Z_close,Z_open,Z_high,Z_low,signal,reward
0,2017-01-03,000001.SH,3135.9208,3105.3085,3136.4558,3105.3085,0.7100289412245477,0.5220045770790083,0.7133149744470734,0.5220045770790083,1.0,0.0
1,2017-01-04,000001.SH,3158.794,3133.7873,3160.1029,3130.1145,0.8865317703151612,0.7285943920290437,0.8947985242026673,0.7053977126203562,1.0,0.0
2,2017-01-05,000001.SH,3165.4109,3157.9063,3168.5021,3154.281,0.965347017969008,0.9166469055274716,0.9854069528861648,0.8931209990655266,1.0,0.0
3,2017-01-06,000001.SH,3154.321,3163.7761,3172.0347,3153.0253,0.9338605607445736,0.9971345963818392,1.0524015899317665,0.9251896669438512,1.0,0.0
4,2017-01-09,000001.SH,3171.2362,3148.5317,3173.136,3147.7351,1.0806080417162238,0.9252285266343108,1.0936094292276266,0.9197769499990944,1.0,0.0
5,2017-01-10,000001.SH,3161.6713,3167.5701,3174.5781,3157.3322,1.0541347538944976,1.095607717255198,1.1448791838639665,1.023627644767485,1.0,0.0
6,2017-01-11,000001.SH,3136.7535,3156.6856,3167.0288,3136.2667,0.9186628785056706,1.0631331358609946,1.1381018930856537,0.915134493574804,1.0,0.0
7,2017-01-12,000001.SH,3119.2886,3133.6015,3144.9699,3115.9787,0.8277734072058033,0.9345623232705174,1.0193822488893682,0.8030781579353856,1.0,0.0
8,2017-01-13,000001.SH,3112.7644,3116.0827,3130.5146,3102.1628,0.7908798557508103,0.8158381984239563,0.9243866435990716,0.7111407225550083,1.0,0.0
9,2017-01-16,000001.SH,3103.428,3104.4924,3105.1423,3044.2912,0.7319045369160027,0.7399737058494241,0.7449005687673391,0.2835910933028223,0.0,2.138226096182927
10,2017-01-17,000001.SH,3108.7746,3087.0295,3108.9072,3072.3384,0.7906076853129981,0.623527861366932,0.7916265256335868,0.5106478837363833,1.0,0.0
11,2017-01-18,000001.SH,3113.0123,3104.7664,3123.7203,3098.5864,0.8237967992122486,0.7604186883358345,0.9060986475568388,0.7129191157947856,1.0,0.0
