trade_date,ts_code,trade_date,close,open,high,low,Z_close,Z_open,Z_high,Z_low
2007-02-01,000001.SH,20070201,2785.432,2744.814,2801.689,2706.291,2.4058389850750994,2.3118643854277643,2.443451498405808,2.2227368187771597
2007-02-02,000001.SH,20070202,2673.212,2791.49,2796.436,2666.862,2.1196933831499347,2.391638413806271,2.4030102675882623,2.10509344956408
2007-02-05,000001.SH,20070205,2612.537,2658.074,2672.352,2610.331,1.95780473424927,2.0619731691505296,2.094634892881126,1.9527583858426525
2007-02-06,000001.SH,20070206,2675.697,2612.839,2677.042,2541.525,2.0767629401311147,1.9338409471887898,2.0798211042551307,1.7716923105046938
2007-02-07,000001.SH,20070207,2716.175,2688.96,2745.387,2681.329,2.1414492910865945,2.0799766303014673,2.207432732822958,2.0627398904722813
2007-02-08,000001.SH,20070208,2737.732,2725.14,2751.162,2691.268,2.1622583738558183,2.1340061632028204,2.192390774512565,2.0580087935047326
2007-02-09,000001.SH,20070209,2730.386,2741.48,2747.944,2704.365,2.1191144603004983,2.1438474795908005,2.158258353639161,2.0611031122787793
2007-02-12,000001.SH,20070212,2807.174,2729.836,2807.51,2728.783,2.258953462162751,2.0878919398717937,2.25969665013619,2.085562841847894
2007-02-13,000001.SH,20070213,2831.872,2819.138,2835.089,2801.313,2.2815813050521694,2.253640672034676,2.288639968191582,2.2145294906669353
2007-02-14,000001.SH,20070214,2905.093,2836.819,2915.063,2823.382,2.405751973718348,2.2573304364076128,2.4274258572902507,2.228119606562513
2007-02-15,000001.SH,20070215,2993.008,2923.666,2994.622,2923.666,2.554840067087465,2.4056826179569355,2.5583118464260575,2.4056826179569355
2007-02-16,000001.SH,20070216,2998.474,3018.18,3036.346,2975.827,2.5255780721959833,2.567528405840806,2.6062003717898508,2.477366907776298
2007-02-26,000001.SH,20070226,3040.599,2999.086,3041.336,2960.745,2.572352954675104,2.4849320898025233,2.573904978797934,2.404191035672984
2007-02-27,000001.SH,20070227,2771.791,3048.829,3049.771,2763.395,1.9831193013362558,2.563380182973267,2.5653532182626573,1.9655337341497165
2007-02-28,000001.SH,20070228,2881.073,2734.595,2888.899,2732.884,2.183106461278712,1.8785043856086276,2.1993806856959903,1.8749463485554767
2007-03-01,000001.SH,20070301,2797.19,2877.203,2878.355,2760.912,1.9856758330661577,2.1511966907744338,2.153579803869555,1.910628457315456
2007-03-02,000001.SH,20070302,2831.526,2792.941,2846.158,2777.796,2.0325660888454196,1.9531875785779542,2.062667588449762,1.9220307161184293
2007-03-05,000001.SH,20070305,2785.306,2827.675,2858.441,2723.065,1.9162881021470817,2.003052668034181,2.066056246926354,1.788829031945308
2007-03-06,000001.SH,20070306,2840.175,2776.167,2866.332,2756.961,2.0050667981975114,1.8747026910381817,2.0583403569865153,1.8355861268258629
2007-03-07,000001.SH,20070307,2896.594,2851.747,2911.416,2849.648,2.0940646462668293,2.003283758108173,2.1240678644149242,1.9990348878549788
2007-03-08,000001.SH,20070308,2928.015,2904.185,2928.803,2871.464,2.1306866706406375,2.082759878544899,2.1322714928047772,2.0169515460159575
2007-03-09,000001.SH,20070309,2937.91,2934.493,2962.421,2891.814,2.123744943907623,2.1169168814423287,2.1727243524785442,2.03163304241502
2007-03-12,000001.SH,20070312,2954.914,2945.923,2958.632,2904.744,2.1307078319719497,2.112857655737983,2.1380893195971176,2.0311034118120044
